type,Threshold,Model,term,Estimate,Std_Error,CI_low,CI_high,OR,OR_Std_Error,CI_lower,CI_upper,p_value,ent_yes_d_yes,ent_no_d_yes,ent_yes_d_no,ent_no_d_no,cov_ent_yes_d_yes,cov_ent_yes_d_no,cov_ent_no_d_yes,cov_ent_no_d_no,knot_ent_yes_d_yes,knot_ent_yes_d_no,knot_ent_no_d_yes,knot_ent_no_d_no,converged,sep_value,separation_flag,nonconv_flag,had_warning_tidy,warning_text_tidy,had_warning_fit,warning_text_fit,warning,p_value_BH
af,95th,non_ent,(Intercept),-2.0339273001620533,0.06091131866670575,-2.1550658069550233,-1.9162190928043474,0.1308207386493529,1.0628046590737246,0.11589556362778414,0.14716231866257565,1.814475683143035e-244,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,1.814475683143035e-244
af,95th,non_ent,EntanglementYes,0.7035728385239721,0.07035252900041036,0.5667566877703025,0.8426167324932192,2.0209603889953156,1.0728863381430047,1.7625412995002174,2.3224362268542342,1.513604718667219e-23,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,1.513604718667219e-23
af,95th,non_ent,scale(Length),0.37922587340244307,0.026006167766153415,0.3283815608542217,0.4303647432160278,1.461153034080403,1.0263472787239276,1.388718751924658,1.5378183300702533,3.64835963472749e-48,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,3.64835963472749e-48
af,95th,non_ent,EssentialNT,-0.7929317821475388,0.23100038549476498,-1.2751503151379107,-0.36507458170175566,0.4525161697857158,1.2598597251184664,0.2793889686735456,0.6941448784410655,5.978247204665249e-4,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,5.978247204665249e-4
af,95th,non_ent,EssentialYes,-0.25128423484917745,0.11069897329687747,-0.472728589715436,-0.03841365099769451,0.7778012619125427,1.117058591772012,0.6232992180406574,0.9623147960748838,0.023208917441450788,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,0.023208917441450788
af,95th,cov_ent,(Intercept),-1.5664844478563678,0.03139260946294871,-1.6284421412202843,-1.5053739684766938,0.20877786317803695,1.0318905543643653,0.1962350426107696,0.22193428188566838,0,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,0
af,95th,cov_ent,Cov_EntanglementYes,0.5421698535217424,0.13192684546130518,0.27983503457245323,0.7974977376446204,1.7197343883484764,1.1410248450678337,1.3229115596648124,2.219979002807458,3.963022640836416e-5,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,3.963022640836416e-5
af,95th,cov_ent,scale(Length),0.4462675185198317,0.025245726062746984,0.39696378451966863,0.49595717266218725,1.5624694001299682,1.0255670981295348,1.4873020657172433,1.6420692308590958,6.311610601849968e-70,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,6.311610601849968e-70
af,95th,cov_ent,EssentialNT,-0.8967710198374323,0.2297921284374898,-1.376927324783038,-0.4716028526618559,0.4078845869009748,1.2583384099693766,0.2523527610806321,0.6240012841626539,9.51918448998577e-5,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,9.51918448998577e-5
af,95th,cov_ent,EssentialYes,-0.2496259512340119,0.11037187786846778,-0.47050032894652555,-0.03746963463487905,0.7790921470320311,1.1166932667647045,0.6246896397713034,0.9632236659150621,0.023717135071340264,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,0.023717135071340264
