"type","cov_type","Percentile","Disease_Class","Estimate","OR","CI_lower","CI_upper","p_value","DidNotConverge","Entangled_and_Disease","NotEntangled_and_Disease","Entangled_and_NoDisease","NotEntangled_and_NoDisease","n_tested_BH","p_value_BH"
"af","noncovalent","95th","Infections (C01)",0.202329894588697,1.2242518155499,0.484178308758091,3.09553831876858,0.669017809368528,FALSE,17,7,8196,4211,23,0.769370480773807
"af","noncovalent","95th","Neoplasms (C04)",0.875444586443371,2.39994203851465,1.65662234190065,3.47678625511092,3.67257888392663e-06,FALSE,185,36,6841,3799,23,2.11173285825781e-05
"af","noncovalent","95th","Musculoskeletal Diseases (C05)",0.570584240589604,1.76930044666477,1.30589668799151,2.39714527140948,0.000231046709329473,FALSE,243,56,7609,4067,23,0.000885679052429647
"af","noncovalent","95th","Digestive System Diseases (C06)",0.75032984259927,2.11769840857419,1.33240557652552,3.36582691388319,0.0015039153693103,FALSE,116,23,7363,3998,23,0.00345900534941369
"af","noncovalent","95th","Stomatognathic Diseases (C07)",0.476792141789104,1.61089857075751,0.751446011214179,3.45333419373087,0.22039045337358,FALSE,34,9,8232,4233,23,0.28161002375513
"af","noncovalent","95th","Respiratory Tract Diseases (C08)",0.588154148167682,1.80066159143246,1.08178572673259,2.99724990516682,0.0236756885113028,FALSE,80,20,7855,4118,23,0.0388957739828546
"af","noncovalent","95th","Otorhinolaryngologic Diseases (C09)",0.942462711189598,2.56629368266506,0.99358995708861,6.62835128183495,0.0515729600419599,FALSE,40,5,8229,4222,23,0.0741361300603174
"af","noncovalent","95th","Nervous System Diseases (C10)",0.656994316200235,1.92898569126471,1.54678352335246,2.4056280280509,5.4942221824557e-09,FALSE,467,108,6769,3812,23,4.21223700654937e-08
"af","noncovalent","95th","Eye Diseases (C11)",0.366021948944008,1.44198689239674,1.01562031044185,2.04734601746925,0.0406943655086552,FALSE,151,45,7906,4113,23,0.0623980271132714
"af","noncovalent","95th","Urogenital Diseases (C12)",0.55574598964278,1.74324093952315,1.20375838759455,2.52450076738583,0.00326591228606772,FALSE,155,38,7424,3974,23,0.00649154399004639
"af","noncovalent","95th","Cardiovascular Diseases (C14)",0.166831104086918,1.181554688697,0.845164937049391,1.65183317620318,0.32910930659977,FALSE,138,53,7637,4045,23,0.398395476410248
"af","noncovalent","95th","Hemic and Lymphatic Diseases (C15)",0.599263029329718,1.82077644697516,1.2194896083588,2.71853638369345,0.00338689251654594,FALSE,135,32,7885,4137,23,0.00649154399004639
"af","noncovalent","95th","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)",0.69072870754461,1.99516889826868,1.67964266098762,2.36996774675752,3.71464855594376e-15,FALSE,801,182,6500,3731,23,4.27184583933532e-14
"af","noncovalent","95th","Skin and Connective Tissue Diseases (C17)",0.581150987405218,1.78809532198998,1.31726460462734,2.42721535923072,0.000193552790431436,FALSE,229,56,7412,4011,23,0.000885679052429647
"af","noncovalent","95th","Nutritional and Metabolic Diseases (C18)",1.0170297551017,2.76496991731591,2.15779433738996,3.54299689789219,9.01987410935606e-16,FALSE,433,81,7326,3970,23,2.07457104515189e-14
