"metric","percentile","p_value","Estimate","OR","Std_Error","CI_Lower","CI_Upper","type","p_value_corrected_BH"
"Gn","50%",0.00388489413278385,0.171463304968763,1.1870405834418,0.059384109760051,1.05680026384206,1.33385639644442,"af",0.00508024617364041
"Gc","50%",3.87688866738808e-05,0.233575689129492,1.26310842785029,0.0567661985961425,1.13030818427816,1.4120572229787,"af",7.3230119272886e-05
"Gmax","50%",1.9807607205147e-05,0.300584076201382,1.35064745827437,0.0704430880591565,1.17693624309018,1.55134007488393,"af",5.61215537479165e-05
"Gsum","50%",0.000693684292576511,0.162361279567626,1.17628513234817,0.0478650509721704,1.07113538887906,1.2922534607864,"af",0.00107205754307279
"N_term_thread","50%",0.000132437947162384,0.0845431583435414,1.0882198089829,0.0221208281094606,1.04222461031908,1.13666318603349,"af",0.000225144510176054
"C_term_thread","50%",0.0262274317103245,0.0467420635665915,1.04785169509027,0.0210282007293309,1.00568162313723,1.09212363522821,"af",0.0318475956482512
"ENT.ID","50%",2.60370091258847e-05,0.0364246759525167,1.03709618279347,0.0086609575405189,1.01969353777915,1.05491315644771,"af",6.32327364485771e-05
"num_zipper_nc","50%",1.35347776836694e-06,0.00320005387662741,1.00320517951502,0.000662299015658123,1.00191335973193,1.00451948607574,"af",7.66970735407931e-06
"num_loop_contacting_res","50%",1.46646654586504e-08,0.00418557177671447,1.00419434351624,0.000738790075294715,1.00274399584044,1.00565258779969,"af",2.49299312797057e-07
"num_cross_nearest_neighbors","50%",0.00166535626994085,0.00471187506948534,1.0047229934087,0.00149858768801978,1.00178127170536,1.00768468925334,"af",0.00235925471574953
"min_N_thread_depth_left","50%",0.132982849008166,0.100834651571882,1.10609373578167,0.0671138142140173,0.969793155784493,1.26167953969529,"af",0.150713895542588
"min_N_prot_depth_left","50%",0.864764604441095,-0.0137771511449558,0.986317319458979,0.0808934992959484,0.841643318660573,1.15571645123236,"af",0.897615361157368
"min_N_thread_slippage_left","50%",0.897615361157368,-1.49505313603494e-05,0.999985049580398,0.000116188934193247,0.99975675323396,1.0002122917127,"af",0.897615361157368
"min_C_thread_depth_right","50%",2.40990093656835e-06,0.293728592971621,1.34141978349957,0.0622885949892218,1.1873570758982,1.51576361278029,"af",1.02420789804155e-05
"min_C_prot_depth_right","50%",2.02541690930314e-07,0.42741573784607,1.53328997590901,0.0822429465570661,1.30505195421269,1.80156156409289,"af",1.72160437290767e-06
