"gene","Delta_2RF","euclidean_dist_50","mean_SASA","Length","Total_Mutations_n","Essential","gene_ctrl","mean_SASA_ctrl","Length_ctrl","Total_Mutations_n_ctrl","Essential_ctrl"
"P13804",0.868,0.138791780230294,54.2209922547507,333,8,"No","O76027",54.2637098223478,345,5,"No"
"P54652",0.862,0.0856239493467007,49.6850239220438,639,1,"No","Q9UK73",48.3598745856491,627,1,"No"
"Q13609",0.841,0.088102979078276,54.4207679992525,305,8,"No","Q8NHY5",54.497517107482,278,7,"No"
"Q92925",0.825,0.0269817558485022,91.1834819340414,531,4,"No","Q68DY1",90.7520138513258,528,4,"No"
"Q99616",0.82,0.0616675967553117,89.3993170046531,98,1,"No","Q6UW32",88.9677452636364,110,2,"No"
"P32119",0.813,0.0130729719067172,51.5585205480404,198,1,"No","P61086",51.3597668356,200,1,"No"
"P28702",0.805,0.0595769906343629,84.8127330745141,533,2,"No","C9JN71",83.8145455406026,531,2,"No"
"P15586",0.803,0.110046812872209,50.6811902598007,552,4,"No","A6NHZ5",50.2155704101479,514,4,"No"
"Q16836",0.802,0.134892634689999,53.287692378,314,4,"No","Q5JTN6",51.1468629202866,314,5,"No"
"P11802",0.802,0.197859228914244,54.2618392111551,303,5,"Yes","P55735",55.3380139301553,322,1,"Yes"
"O95045",0.8,0.130798704697751,54.7840969857729,317,7,"No","P02750",56.2915598355043,347,6,"No"
"P07327",0.8,0.133152383318577,42.5637786763307,375,1,"No","O43813",40.6299376674386,399,1,"No"
"P11142",0.8,0.170528244007815,50.5868509628638,646,0,"No","Q96JP0",48.1797026970502,617,1,"No"
"Q9GZX6",0.799,0.0204094108993251,65.5309725812291,179,2,"No","Q9NP86",65.336371466474,173,2,"No"
"Q9Y272",0.798,0.056317204576346,66.0522907134377,281,0,"No","Q9BR61",65.1056890647518,282,0,"No"
"P33176",0.796,0.15420944325878,84.8067280350571,963,7,"No","Q8TF20",85.1914444531284,911,8,"No"
"P59910",0.795,0.143954843777888,69.228769467557,316,7,"No","Q15238",70.8974189164836,335,9,"No"
"P27695",0.793,0.0655094692282987,58.3684172892327,318,5,"No","Q8WXH4",59.4453679205573,323,5,"No"
"P06733",0.792,0.227589219218733,38.024988024129,434,0,"No","Q6ZV70",41.7977803761952,420,0,"No"
"O75791",0.789,0.0457647976902522,86.1619934738485,330,4,"No","Q9UBM4",86.0441166668675,332,5,"No"
"P16519",0.788,0.110677915914933,48.3156113528934,638,1,"No","Q8IUR7",47.8994734344844,673,0,"No"
"Q9BZE9",0.786,0.102824284716783,88.8969285351718,553,7,"No","Q9Y2P0",88.5184235564246,537,5,"No"
"P05177",0.784,0.0206942854643409,48.486987755155,516,3,"No","Q9Y575",48.1517402649459,518,3,"No"
"P22392",0.784,0.017862202593781,58.7818032521053,152,0,"No","Q8NDC4",58.8830915563014,146,0,"No"
"P60568",0.78,0.0439464620195184,69.4778086415686,153,1,"No","P07998",68.7518878478205,156,1,"No"
